tech_id_clean;url
T1546;40
T1564;32
T1547;31
T1574;29
T1218;28
T1055;24
T1553;20
T1562;20
T1543;19
T1021;18
T1098;18
T1558;17
T1003;16
T1056;16
T1583;16
T1584;16
T1557;15
T1568;15
T1027;14
T1053;14
T1059;14
T1542;14
T1036;13
T1505;13
T1548;13
T1552;13
T1555;13
T1559;13
T1137;12
T1556;12
T1588;12
T1497;11
T1179;9
T1483;9
T1499;9
T1550;9
T1587;9
T1614;9
T0847;8
T1037;8
T1134;8
T1215;8
T1498;8
T1601;8
T1608;8
T1106;7
T1159;7
T1480;7
T1484;7
T1485;7
T1486;7
T1561;7
T1602;7
T1088;6
T1096;6
T1110;6
T1175;6
T1195;6
T1491;6
T1501;6
T1589;6
T1596;6
T1620;6
T0860;5
T1070;5
T1130;5
T1168;5
T1173;5
T1176;5
T1190;5
T1197;5
T1205;5
T1221;5
T1496;5
T1502;5
T1528;5
T1563;5
T0858;4
T0868;4
T0879;4
T0883;4
T0886;4
T1020;4
T1086;4
T1141;4
T1170;4
T1183;4
T1187;4
T1191;4
T1204;4
T1220;4
T1222;4
T1487;4
T1585;4
T1590;4
T1595;4
T1598;4
T1606;4
T0814;3
T0828;3
T0831;3
T0855;3
T0863;3
T0887;3
T1009;3
T1014;3
T1018;3
T1019;3
T1024;3
T1032;3
T1034;3
T1048;3
T1064;3
T1071;3
T1079;3
T1081;3
T1082;3
T1084;3
T1090;3
T1095;3
T1097;3
T1116;3
T1127;3
T1144;3
T1158;3
T1160;3
T1167;3
T1171;3
T1181;3
T1184;3
T1196;3
T1201;3
T1202;3
T1207;3
T1210;3
T1219;3
T1488;3
T1489;3
T1503;3
T1504;3
T1519;3
T1529;3
T1560;3
T1569;3
T1571;3
T1572;3
T1580;3
T1586;3
T1592;3
T1609;3
T1621;3
T1647;3
T0803;2
T0804;2
T0811;2
T0813;2
T0816;2
T0826;2
T0827;2
T0830;2
T0835;2
T0844;2
T0848;2
T0861;2
T0862;2
T0873;2
T0877;2
T0882;2
T1005;2
T1016;2
T1028;2
T1040;2
T1044;2
T1046;2
T1047;2
T1051;2
T1058;2
T1067;2
T1068;2
T1074;2
T1076;2
T1078;2
T1083;2
T1085;2
T1087;2
T1093;2
T1105;2
T1109;2
T1112;2
T1120;2
T1122;2
T1124;2
T1133;2
T1138;2
T1140;2
T1145;2
T1149;2
T1154;2
T1157;2
T1161;2
T1162;2
T1166;2
T1174;2
T1182;2
T1185;2
T1186;2
T1198;2
T1200;2
T1206;2
T1208;2
T1213;2
T1482;2
T1490;2
T1492;2
T1493;2
T1494;2
T1500;2
T1514;2
T1527;2
T1534;2
T1539;2
T1565;2
T1566;2
T1573;2
T1591;2
T1597;2
T1599;2
T1600;2
T1610;2
T1611;2
T1622;2
T0810;1
T0812;1
T0815;1
T0817;1
T0819;1
T0821;1
T0822;1
T0825;1
T0829;1
T0832;1
T0833;1
T0838;1
T0839;1
T0852;1
T0856;1
T0857;1
T0859;1
T0864;1
T0865;1
T0866;1
T0878;1
T0889;1
T1001;1
T1006;1
T1008;1
T1010;1
T1015;1
T1026;1
T1030;1
T1031;1
T1038;1
T1041;1
T1042;1
T1043;1
T1045;1
T1049;1
T1054;1
T1060;1
T1062;1
T1065;1
T1069;1
T1073;1
T1075;1
T1077;1
T1080;1
T1094;1
T1099;1
T1100;1
T1101;1
T1102;1
T1103;1
T1107;1
T1108;1
T1111;1
T1113;1
T1114;1
T1115;1
T1117;1
T1125;1
T1131;1
T1132;1
T1139;1
T1142;1
T1143;1
T1147;1
T1150;1
T1151;1
T1152;1
T1153;1
T1155;1
T1156;1
T1163;1
T1164;1
T1165;1
T1169;1
T1172;1
T1178;1
T1180;1
T1189;1
T1192;1
T1199;1
T1212;1
T1214;1
T1216;1
T1223;1
T1495;1
T1506;1
T1518;1
T1522;1
T1525;1
T1531;1
T1535;1
T1537;1
T1570;1
T1578;1
T1593;1
T1594;1
T1612;1
T1613;1
T1615;1
